region,income_bracket,caste_category,credit_score,approved,model_prediction
Rural,Mid,General,623.5465420298385,0,0
Urban,High,ST,669.7106338818331,1,1
Urban,Mid,General,638.5562428148847,1,1
Urban,Low,General,708.8519734831419,1,1
Rural,Mid,SC,548.1282896551767,0,0
Urban,Mid,General,731.3198973191188,1,1
Urban,High,OBC,576.2594778661545,0,0
Urban,Mid,OBC,669.3289292638764,1,1
Urban,Mid,General,722.1722413021787,1,1
Rural,Mid,OBC,654.5015261083979,0,0
Urban,High,SC,611.0694184722362,0,0
Urban,Mid,General,653.0960261934595,1,1
Urban,Mid,OBC,753.8839215305362,1,1
Urban,Mid,General,710.0458758783816,1,1
Urban,Mid,OBC,768.2983098554148,1,1
Urban,Mid,SC,604.6501527074367,0,0
Urban,Low,ST,570.5200948263234,0,0
Urban,Low,ST,727.0382213182845,1,1
Urban,Low,General,676.4882391554562,1,1
Urban,Low,ST,553.9220401283706,0,0
Urban,Mid,General,578.6039231219664,0,0
Urban,Mid,OBC,700.3307993183405,1,1
Rural,Mid,SC,595.4500174848764,0,0
Urban,High,OBC,626.4936492657782,1,1
Rural,Low,General,603.038390046968,0,0
Rural,Mid,ST,751.887066855906,1,1
Urban,Mid,OBC,797.5463264000357,1,1
Urban,Mid,ST,677.4997520490341,1,1
Urban,Mid,General,570.4291459426205,0,0
Urban,Mid,SC,638.7696515293052,1,1
Urban,Low,SC,460.6634673876321,0,0
Urban,Low,SC,722.8383203748946,1,1
Urban,High,General,825.9662882124007,1,1
Urban,Mid,OBC,656.6433442921457,1,1
Rural,High,SC,621.2004564929425,0,0
Urban,Mid,General,653.6816439039477,1,0
Rural,Low,ST,578.1102064366237,0,0
Urban,Mid,SC,592.1445963050866,0,0
Urban,Low,SC,669.5123449862746,1,1
Rural,Low,OBC,659.2565151805276,0,0
Urban,Mid,SC,662.3160680349757,1,1
Urban,Mid,General,703.2665139862789,1,1
Urban,Low,General,585.6364622474755,0,0
Urban,High,General,560.8686577340834,0,0
Urban,High,ST,629.6784978150764,1,0
Urban,Mid,OBC,644.6814256706913,1,1
Rural,Low,General,668.4080888690701,0,0
Urban,Low,OBC,613.8176785485654,0,1
Rural,Low,General,558.3447993502162,0,0
Urban,High,SC,580.3078672112288,0,1
Urban,High,General,614.1526933723368,0,0
Urban,Low,ST,698.1296709211315,1,1
Rural,High,General,641.6856696848148,0,0
Rural,Mid,General,542.2208958895212,0,0
Urban,High,SC,672.6514599001101,1,1
Rural,Low,General,622.8313804078109,0,0
Urban,High,SC,767.1289015768466,1,1
Urban,Mid,OBC,643.1495603644166,1,1
Rural,Low,SC,684.7747939545756,0,0
Urban,Mid,OBC,802.5659183082915,1,1
Urban,Low,SC,527.8203160187402,0,0
Urban,High,ST,804.0999746560605,1,1
Rural,Mid,OBC,590.2642864187246,0,0
Rural,Mid,ST,504.8803075348626,0,0
Urban,Low,ST,703.063763917939,1,1
Rural,High,OBC,766.7981147336134,1,1
Urban,Low,OBC,565.1031762135525,0,0
Rural,Low,OBC,566.5310269179381,0,0
Urban,Mid,OBC,567.21110195643,0,0
Rural,Low,OBC,662.4572626955934,0,0
Urban,Low,ST,658.9153458599845,1,1
Urban,Mid,OBC,572.1047927663149,0,0
Rural,Mid,OBC,712.6596462653706,1,1
Urban,Low,ST,542.0959503632528,0,0
Rural,Mid,OBC,582.6345356991815,0,0
Rural,Low,ST,762.0208635077114,1,1
Rural,Mid,OBC,699.8879008850283,1,0
Urban,Low,ST,760.7082249426846,1,1
Urban,Low,General,807.5048239784752,1,1
Urban,Mid,ST,619.7907223582035,0,0
Urban,Mid,OBC,575.8194139905087,0,0
Urban,Mid,ST,542.5846735991915,0,0
Urban,Low,SC,801.8861289150409,1,1
Rural,Low,SC,639.6591501716399,0,0
Urban,Mid,OBC,752.2948540589172,1,1
Urban,Low,General,739.3019840697248,1,1
Rural,Mid,General,699.808442357601,1,0
Rural,Mid,General,663.9786916814144,0,0
Urban,High,General,632.0607018395069,1,1
Rural,Low,OBC,722.702190968264,1,1
Rural,Low,ST,536.3852811720537,0,0
Rural,Mid,General,672.9034936288866,0,0
Urban,Mid,General,615.2838681822074,0,1
Urban,Low,OBC,692.299763671672,1,1
Rural,Mid,General,571.8956991918559,0,0
Urban,Low,General,696.4893730162152,1,1
Urban,Low,OBC,609.1380657305131,0,0
Rural,Mid,SC,593.7496704485121,0,0
Urban,Low,OBC,697.5780442085479,1,1
Urban,High,General,608.5715967671161,0,0
Urban,Low,SC,546.3780838322608,0,0
Urban,High,OBC,712.0704768409262,1,1
Urban,Mid,OBC,637.1377434452717,1,1
Rural,Mid,General,709.4048973312645,1,0
Urban,High,OBC,610.7649288383251,0,0
Rural,Low,SC,646.8334994270507,0,0
Urban,High,General,677.5221037824499,1,1
Urban,Mid,SC,700.6445336316406,1,1
Urban,Low,OBC,705.1978487999197,1,1
Rural,Mid,OBC,692.8214356710488,1,1
Urban,High,SC,728.9136411024467,1,1
Urban,Mid,General,686.0909183836769,1,1
Urban,Mid,SC,595.4292880235266,0,0
Urban,Mid,SC,515.4125000890939,0,0
Urban,High,SC,795.429123492338,1,1
Urban,Mid,SC,676.8483004774052,1,0
Urban,Mid,SC,581.4387327863725,0,0
Urban,Mid,SC,481.6383601388477,0,0
Rural,High,SC,621.7240919436455,0,0
Rural,Mid,General,668.7293414987486,0,0
Rural,Mid,SC,631.989440934888,0,0
Urban,Mid,SC,615.2464544720488,0,0
Urban,High,General,599.0387015761731,0,0
Rural,Mid,SC,564.1416654915132,0,0
Rural,Mid,SC,643.8891889462916,0,0
Urban,Low,OBC,644.9114062418475,1,1
Rural,Low,SC,637.940847380087,0,0
Rural,Mid,General,546.070837882867,0,0
Urban,Mid,General,624.6076282750626,1,0
Rural,Mid,General,780.0161869749865,1,1
Urban,Low,SC,596.8594056123393,0,0
Urban,Low,OBC,741.5997695625863,1,1
Urban,Low,ST,676.846426228429,1,1
Urban,Low,General,486.21172198811973,0,0
Urban,Mid,OBC,633.9067750612307,1,1
Urban,High,SC,591.2706352304241,0,0
Rural,Low,OBC,730.9100576471288,1,0
Urban,Low,General,731.3767449766892,1,1
Urban,Mid,OBC,578.4547087975157,0,0
Urban,Low,SC,618.7093085799016,0,0
Urban,Mid,OBC,610.5327924678373,0,1
Urban,High,General,702.6121074829816,1,1
Rural,Mid,OBC,584.3288330326685,0,0
Urban,Low,ST,584.1057063394564,0,0
Urban,High,OBC,678.7975595215783,1,1
Rural,Low,ST,681.4410529052105,0,0
Urban,High,OBC,688.2403591609625,1,1
Urban,Mid,OBC,587.9740222560179,0,0
Urban,Mid,General,670.6502057374437,1,1
Urban,Mid,SC,652.290779411667,1,0
Urban,Low,SC,683.0857845108407,1,1
Urban,Low,OBC,665.6116946821751,1,1
Rural,Low,ST,737.5935647287403,1,0
Urban,Mid,OBC,763.7522999490699,1,1
Rural,Mid,SC,620.9606644749784,0,0
Rural,High,General,675.7625382398579,1,0
Urban,High,SC,665.5737770246751,1,1
Urban,Mid,ST,685.1171689459718,1,1
Rural,High,OBC,675.0400288312685,1,1
Rural,Low,OBC,602.007014763142,0,0
Urban,Mid,General,707.2726723074223,1,1
Urban,Low,General,803.1806192959023,1,1
Rural,Mid,ST,573.6746028642699,0,0
Urban,Low,General,721.6606953621838,1,1
Rural,Mid,ST,574.7062180858967,0,0
Urban,Mid,ST,594.8187583615103,0,0
Urban,Low,OBC,635.2260407743474,1,1
Rural,Low,SC,632.0770270826669,0,0
Rural,High,General,550.3869564873,0,0
Urban,Low,SC,682.9314452070047,1,1
Rural,Low,SC,607.374999202619,0,0
Urban,Mid,OBC,614.0618027616109,0,0
Urban,Low,ST,801.9138232511663,1,1
Urban,Low,General,674.6182773423142,1,1
Rural,Mid,ST,675.7161380849976,1,1
Urban,Mid,ST,616.2674566344361,0,1
Rural,Mid,ST,677.6509157490823,1,1
Rural,Mid,OBC,705.879458856506,1,1
Urban,Mid,OBC,706.9890583917214,1,1
Rural,High,SC,762.4493353243574,1,1
Rural,Low,General,631.262667380399,0,0
Urban,Low,SC,633.5143874356505,1,1
Urban,Mid,ST,633.7601892848861,1,0
Urban,Mid,General,696.2146586510945,1,1
Rural,Low,General,701.7279769345275,0,1
Rural,Mid,ST,499.11401976301,0,0
Urban,High,OBC,588.0143168249726,0,0
Urban,Mid,SC,706.6703724370675,1,1
Urban,Mid,General,596.8010835715365,0,0
Urban,Mid,ST,604.4435625682261,0,1
Urban,Low,OBC,649.0116757626486,1,1
Rural,High,General,673.2629689925524,0,0
Urban,Mid,SC,559.0809145623462,0,0
Rural,Mid,ST,604.0559936938793,0,0
Urban,Mid,General,701.2244635581718,1,1
Urban,Mid,General,580.1117637477128,0,0
Rural,High,ST,701.8449303024203,1,0
Urban,Low,OBC,554.4556492272151,0,0
Urban,Low,General,605.1535689042006,0,0
Urban,Mid,OBC,686.3175555614683,1,1
Rural,Mid,OBC,659.7843300527699,0,0
Rural,Mid,SC,746.8396192868809,1,1
Rural,Low,ST,609.8790590462291,0,0
Urban,High,OBC,657.9722824078115,1,1
Urban,High,OBC,621.2589531515702,1,1
Urban,Mid,SC,603.0913675842447,0,1
Urban,Mid,SC,605.1376459351,0,0
Urban,Mid,General,807.6448335953071,1,1
Urban,Low,General,560.2802117495914,0,0
Urban,Low,General,643.3483488615367,1,0
Urban,Mid,OBC,659.5570644509264,1,1
Urban,Mid,OBC,618.494589996617,0,0
Urban,Low,SC,738.8980273921951,1,1
Urban,High,OBC,707.8184984063097,1,1
Urban,High,SC,614.1881926122597,0,1
Rural,High,ST,571.4681373229379,0,0
Urban,Low,SC,558.3680193615726,0,0
Urban,Low,General,611.0590725393782,0,0
Urban,Low,ST,622.2206581705062,1,0
Rural,Low,General,583.0644637724768,0,0
Urban,Low,General,624.2926771606068,1,0
Rural,Low,General,571.1148943750609,0,0
Urban,Mid,ST,643.4803198022354,1,1
Rural,High,OBC,637.1661493655206,0,0
Urban,Mid,General,636.2409387808145,1,1
Urban,Mid,General,512.1229604894747,0,0
Urban,Mid,ST,787.510323883261,1,1
Rural,Mid,OBC,634.8732549700334,0,0
Urban,Low,OBC,658.1858167011793,1,0
Rural,High,OBC,734.1017444612377,1,1
Urban,Mid,ST,670.5374429061231,1,1
Urban,Low,OBC,737.9687016181005,1,1
Rural,Mid,General,728.310197218965,1,1
Urban,Mid,General,726.4017065608712,1,1
Urban,High,General,641.9394534390389,1,1
Urban,Mid,ST,726.0515781240686,1,1
Urban,Mid,OBC,689.435821871034,1,1
Urban,High,SC,560.5317735343962,0,0
Rural,Mid,ST,580.3555181795855,0,0
Rural,Mid,OBC,621.0345293804608,0,0
Urban,Mid,OBC,603.330446328838,0,0
Urban,Low,OBC,616.0475827881978,0,0
Urban,Mid,OBC,661.1411456582697,1,1
Rural,Low,SC,635.1820007567065,0,0
Urban,Low,SC,751.2128806340488,1,1
Urban,Low,OBC,638.8696826506413,1,1
Urban,High,OBC,629.2896371716289,1,0
Urban,Mid,ST,724.0667516330051,1,1
Rural,Low,ST,602.3675636719446,0,0
Urban,Mid,ST,636.8252861907755,1,1
Urban,Low,ST,647.8505366956822,1,1
Urban,Low,OBC,587.627058677888,0,0
Rural,Mid,ST,678.7967990385023,1,1
Urban,Low,SC,621.1300631223954,1,0
Urban,Low,OBC,526.4873259874854,0,0
Urban,Mid,General,720.2070556401825,1,1
Rural,Low,OBC,562.2805193804279,0,0
Urban,High,General,602.5713422282587,0,0
Rural,High,ST,754.7524389479738,1,1
Urban,High,SC,513.9753110785621,0,0
Urban,High,ST,677.7884700895873,1,1
Rural,Mid,ST,732.9202052622078,1,1
Urban,Mid,General,572.8469529060308,0,0
Urban,Mid,General,618.6787675486539,0,0
Urban,Low,ST,648.4700107266683,1,1
Urban,High,OBC,787.5535653403301,1,1
Urban,Mid,ST,674.0091646806222,1,1
Urban,Mid,General,697.0292872818806,1,1
Rural,Low,General,619.5268780936434,0,0
Rural,Mid,SC,583.1244065039144,0,0
Urban,Mid,ST,552.592368249065,0,0
Rural,Low,OBC,666.2255484930706,0,0
Urban,Mid,ST,718.3756120805087,1,1
Rural,High,ST,628.5595048886514,0,0
Urban,Low,General,816.3340484198512,1,1
Rural,Mid,ST,603.1147136985655,0,0
Urban,Mid,ST,624.1303809510958,1,1
Urban,Mid,OBC,765.7691281256643,1,1
Urban,Mid,SC,609.1449970751836,0,0
Rural,Low,SC,668.919073928993,0,0
Urban,Mid,General,562.0666236912962,0,0
Urban,Mid,SC,643.8428312192533,1,1
Urban,Mid,OBC,651.2186549259324,1,1
Urban,Low,OBC,628.0104697460341,1,1
Urban,Low,SC,685.9192448344214,1,1
Rural,High,OBC,596.3313280524479,0,0
Rural,High,OBC,487.6722347540706,0,0
Rural,Mid,OBC,677.644331436721,1,1
Urban,Low,OBC,712.7603728142749,1,1
Urban,High,General,686.5990483694849,1,1
Urban,High,ST,628.9991873182817,1,0
Urban,Mid,SC,681.1408737637984,1,1
Urban,Mid,ST,676.647570121541,1,1
Urban,High,ST,790.4825891719569,1,1
Rural,Mid,General,687.3451862979454,1,1
Urban,Mid,SC,703.7249196977823,1,1
Urban,Mid,SC,581.3349351692622,0,0
Rural,Mid,General,558.2664505756898,0,0
Urban,High,OBC,683.256880589165,1,1
Urban,Mid,SC,576.2379791275682,0,0
Urban,Low,OBC,591.841742962159,0,0
Urban,Mid,General,784.9019208021405,1,1
Urban,High,OBC,570.1712160118846,0,0
Rural,Low,General,505.2943972146187,0,0
Rural,Low,OBC,535.0664054292407,0,0
Urban,High,OBC,527.4823904592674,0,0
Rural,Low,SC,587.1875356757826,0,0
Rural,Low,SC,568.4501727698789,0,0
Rural,Low,SC,725.5839794030774,1,0
Urban,Mid,General,671.668117905597,1,1
Urban,Low,ST,543.3904560685068,0,0
Urban,Mid,OBC,687.2653210724833,1,1
Urban,Low,ST,633.6460823040675,1,1
Urban,Mid,OBC,592.7525431021986,0,0
Urban,Mid,OBC,637.8582797683741,1,0
Urban,Mid,ST,619.7691630610877,0,1
Urban,Low,SC,742.0119544894466,1,1
Urban,Low,OBC,728.4214337702366,1,1
Urban,Low,OBC,782.2754030764665,1,1
Urban,Low,ST,656.4671616226897,1,1
Urban,Low,ST,626.5908718589606,1,0
Urban,Low,SC,681.954908906236,1,1
Urban,Mid,General,719.4977653603828,1,1
Rural,Low,OBC,663.06468209489,0,0
Urban,Mid,ST,649.4279430963163,1,1
Urban,Low,OBC,503.60100950663366,0,0
Rural,Mid,ST,753.9315308348683,1,1
Rural,Mid,ST,610.1233451634105,0,0
Rural,Low,OBC,736.6824436539587,1,1
Urban,Low,General,677.3999023123476,1,1
Urban,Low,General,716.747008384561,1,1
Urban,Low,ST,517.3531005907662,0,0
Urban,Low,ST,624.9853184070876,1,1
Rural,High,General,583.085004448451,0,0
Urban,High,OBC,594.8198597079092,0,0
Rural,High,ST,646.4313628123645,0,1
Urban,High,OBC,728.7790319496245,1,1
Urban,Mid,ST,566.9465605362136,0,0
Rural,Low,OBC,557.220015904786,0,0
Rural,Mid,General,607.8074745376175,0,0
Urban,Mid,OBC,699.8083554554651,1,1
Urban,Mid,ST,691.7489326378089,1,1
Rural,Low,OBC,722.6131146385188,1,1
Urban,Low,ST,680.6101919265201,1,1
Urban,Low,OBC,641.3933276548029,1,0
Urban,Low,OBC,546.5845252371876,0,0
Urban,Mid,OBC,674.3601219574244,1,1
Rural,High,ST,705.3502909317533,1,1
Rural,Mid,General,632.2417041752688,0,0
Rural,Low,OBC,660.6932679832275,0,0
Urban,Mid,ST,680.2995576660393,1,1
Rural,Low,General,589.3693561451346,0,0
Urban,Mid,ST,514.6480240916486,0,0
Rural,Mid,ST,535.6128299691653,0,0
Rural,High,SC,548.5443747080827,0,0
Urban,Low,OBC,655.4814398794405,1,1
Urban,Mid,SC,687.793529052121,1,1
Urban,Mid,SC,534.2035364532317,0,0
Rural,Low,SC,688.9401732236017,0,0
Urban,High,General,744.8750576986333,1,1
Urban,Mid,OBC,572.1324311514875,0,0
Urban,High,General,556.7329729230289,0,0
Urban,Mid,General,679.8346198941173,1,1
Rural,High,SC,659.5613076307197,0,1
Rural,High,General,789.1037704991738,1,1
Urban,Low,General,609.9947362145259,0,0
Urban,Mid,General,705.7951346319855,1,1
Urban,Low,General,634.9144639288749,1,1
Urban,Mid,SC,681.6106912729302,1,1
Urban,Mid,General,752.0295620920953,1,1
Urban,Mid,General,738.78265358313,1,1
Rural,Mid,OBC,585.88793510064,0,0
Rural,Mid,SC,605.56919554774,0,0
Urban,Mid,ST,688.9055075160954,1,1
Urban,Mid,ST,718.9030990220723,1,1
Urban,High,General,787.8684080087987,1,1
Urban,High,General,634.478124401888,1,0
Urban,High,ST,603.2024507337295,0,0
Urban,Mid,ST,585.9600920531967,0,0
Urban,High,General,822.4097494328707,1,1
Urban,High,OBC,663.4487983336305,1,1
Rural,Mid,OBC,631.1673544212426,0,0
Urban,Mid,General,618.0493840025462,0,0
Urban,High,OBC,529.8521580817599,0,0
Urban,Low,ST,638.7680305631234,1,1
Urban,Mid,General,690.5417787321186,1,1
Urban,High,OBC,614.3335951722576,0,0
Rural,Low,SC,689.655719754561,0,0
Urban,Mid,ST,704.4758270025229,1,1
Urban,Mid,OBC,498.27785249588084,0,0
Urban,Low,General,663.3018072241659,1,1
Urban,Low,ST,708.2814221961717,1,1
Urban,Low,ST,609.7461398649724,0,0
Urban,High,OBC,644.8583064969553,1,1
Urban,High,OBC,708.4753679674765,1,1
Rural,Low,General,713.3654351541855,0,1
Urban,Mid,SC,689.8127655586595,1,1
Urban,High,General,554.6803081063329,0,0
Rural,High,ST,753.1411393669372,1,1
Rural,Low,OBC,663.2116819806096,0,0
Urban,High,OBC,725.247653292442,1,1
Rural,Low,General,675.3929791096978,0,0
Rural,Low,OBC,586.5642036970955,0,0
Rural,Mid,SC,647.3276913473751,0,0
Urban,High,OBC,648.214714655039,1,1
Urban,High,OBC,624.3611871065915,1,0
Urban,Low,ST,674.673555867763,1,1
Rural,High,SC,623.2555412817195,0,0
Rural,Low,SC,781.0167735561264,1,1
Rural,Low,ST,722.5142916218208,1,1
Urban,Mid,OBC,664.7826146264083,1,0
Urban,Mid,SC,741.1919690459569,1,1
Urban,Low,ST,695.8432621415297,1,1
Urban,Low,OBC,783.8109496484853,1,1
Rural,Low,OBC,750.3157915462017,1,1
Urban,High,SC,628.9230155473131,1,1
Urban,Mid,ST,610.2670766451306,0,0
Urban,Mid,ST,630.5495159823156,1,1
Rural,Mid,General,608.0825901114281,0,0
Urban,Low,General,714.7668047555399,1,1
Urban,Low,ST,764.0805302448015,1,1
Rural,High,OBC,611.6569724893984,0,0
Rural,Mid,ST,734.9512117242798,1,1
Urban,Mid,ST,760.0500631763302,1,1
Urban,Mid,ST,740.1377753884926,1,1
Urban,Low,ST,591.7008295700856,0,0
Rural,Low,General,661.5818500934413,0,0
Urban,High,SC,722.3835792560634,1,1
Urban,Low,General,657.1644086517401,1,1
Rural,Low,SC,656.9157471352682,0,0
Urban,Mid,ST,589.1791271463105,0,0
Rural,Mid,OBC,635.2172437591357,0,0
Urban,High,OBC,643.0350657349932,1,0
Urban,Low,OBC,714.4600269673701,1,1
Rural,Low,General,721.741648057274,1,0
Rural,Low,General,721.1512098554275,1,1
Rural,Low,OBC,731.4955357716228,1,1
Urban,Low,General,670.6714700659655,1,1
Urban,Mid,General,732.150985717682,1,1
Urban,Low,SC,637.2894662351245,1,1
Urban,Low,ST,650.9151366677636,1,1
Urban,Low,OBC,809.132488028836,1,1
Rural,High,General,733.6735287986966,1,1
Rural,Low,OBC,638.3459751372989,0,0
Urban,Mid,SC,624.4701486124096,1,1
Urban,Mid,OBC,726.5837581028276,1,1
Urban,Low,OBC,602.322046095759,0,0
Rural,High,General,729.8884572021694,1,0
Urban,High,ST,687.9098582075933,1,1
Urban,Low,General,632.5285540915038,1,0
Rural,High,General,766.7383081484912,1,1
Urban,Mid,SC,677.8746576586577,1,1
Urban,Mid,General,701.3044914434447,1,1
Rural,Low,OBC,630.4525009907109,0,0
Urban,High,SC,695.6019337050287,1,1
Rural,Mid,SC,592.9157373992157,0,0
Urban,Mid,SC,764.5365699932322,1,1
Rural,Low,ST,564.6122720090591,0,0
Urban,High,SC,701.5281864895514,1,1
Rural,Low,OBC,789.602662034667,1,1
Urban,Mid,OBC,690.917960679986,1,1
Urban,Low,General,527.9777191614339,0,0
Urban,Low,OBC,634.0765869676168,1,0
Urban,Low,ST,579.7602310123289,0,0
Urban,High,General,649.3169830134917,1,1
Urban,High,General,632.290832545788,1,1
Rural,Low,SC,573.2807841941294,0,0
Urban,Low,SC,741.6529402983857,1,1
Urban,Low,ST,581.2607108680638,0,0
Urban,Mid,OBC,671.4425312365938,1,1
Urban,Mid,General,538.4208289369047,0,0
Urban,Low,SC,743.936083543239,1,1
Urban,High,SC,614.6705197447516,0,0
Urban,High,SC,736.2788975190036,1,1
Urban,High,SC,675.7670869312919,1,1
Urban,Mid,OBC,768.0841799897237,1,1
Urban,High,ST,695.7167752117919,1,1
Urban,Mid,ST,682.0443025421447,1,1
Urban,Mid,General,648.6971338966174,1,1
Urban,High,SC,738.0034265055793,1,1
Rural,Low,SC,790.7722443720031,1,1
Urban,Mid,ST,794.8593271864261,1,1
Urban,Mid,SC,697.3761683174743,1,1
Rural,Mid,SC,682.769349669883,1,0
Urban,Low,OBC,642.4593121787982,1,0
Urban,Low,SC,555.61906948576,0,0
Urban,Low,SC,674.9975801481177,1,1
Rural,Low,General,690.0432157048792,0,0
Urban,High,ST,761.7619536521529,1,1
Urban,Mid,OBC,819.3617233077018,1,1
Rural,Mid,SC,484.5892790006608,0,0
Urban,High,ST,638.436099522044,1,1
Urban,Mid,SC,632.0222122567448,1,0
Rural,Low,General,607.374473393926,0,0
Urban,Mid,SC,628.081203354533,1,1
Rural,Mid,ST,790.8592584572884,1,1
Urban,Mid,ST,616.6905043046446,0,0
Rural,Low,ST,823.3731663372987,1,1
Rural,Mid,General,689.9904293510866,1,0
Urban,Mid,SC,695.9386981349628,1,1
Urban,Mid,SC,677.6919310207705,1,1
Urban,Mid,OBC,601.0837562988053,0,0
Urban,Low,General,587.816747428351,0,0
Urban,High,SC,648.0843575289068,1,0
Urban,Low,ST,677.229808678494,1,1
Urban,High,General,720.7157339079271,1,1
Urban,Mid,ST,688.2074838700008,1,1
Urban,Low,OBC,599.0681476204865,0,0
Urban,Mid,General,662.7678719797943,1,1
Rural,Mid,ST,642.4643757553553,0,0
Urban,Mid,SC,551.3966626759418,0,0
Urban,Low,OBC,694.7197061424336,1,1
Urban,Mid,ST,709.4189074831595,1,1
Rural,Mid,SC,656.1195029773488,0,0
Urban,Low,OBC,610.6187136305575,0,1
Urban,Mid,ST,675.6926967652154,1,1
Rural,Mid,ST,691.5481071141348,1,1
Rural,Low,OBC,604.305946671057,0,0
Urban,Low,ST,624.1431615729471,1,0
Urban,Low,General,663.4040665774822,1,1
Rural,High,ST,706.2651457499011,1,1
Urban,Low,General,685.080941970732,1,1
Urban,Low,OBC,663.957276263707,1,1
Urban,High,OBC,654.3813568451809,1,1
Urban,Mid,General,575.9833196493028,0,0
Urban,Low,General,552.7712405114336,0,0
Urban,Mid,SC,540.7448184200932,0,0
Urban,Low,General,645.245063954624,1,1
Urban,High,ST,652.320543182513,1,1
Urban,Low,ST,658.121351301484,1,1
Urban,Low,General,710.1122472973713,1,1
Urban,Low,SC,679.2865031447218,1,1
Urban,Low,OBC,618.878303612516,0,1
Urban,Mid,General,648.4285021432647,1,1
Rural,Low,SC,742.8576911708869,1,1
Urban,Mid,SC,648.0016541921341,1,0
Rural,Mid,ST,617.3852508962252,0,0
Urban,Low,OBC,671.8640610984838,1,1
Urban,Low,OBC,639.4032779403678,1,1
Urban,Low,General,585.6167065939699,0,0
Urban,Low,SC,592.2947877459169,0,0
Rural,Low,ST,683.974956956193,0,0
Rural,Mid,ST,593.028084072957,0,0
Urban,Mid,General,565.4336912283001,0,0
Urban,Mid,SC,613.5360230459028,0,0
Urban,Mid,SC,504.2123986520344,0,0
Urban,Low,ST,686.7790360944958,1,1
Rural,High,SC,548.6917785914494,0,0
Urban,High,OBC,624.901220148419,1,0
Rural,High,ST,684.3181479855261,1,1
Urban,Low,SC,662.6780388230517,1,1
Urban,Mid,ST,677.6614488211691,1,1
Urban,High,OBC,559.8337291114103,0,0
Urban,Mid,General,537.9977253314803,0,0
Urban,Low,SC,759.2093824735981,1,1
Rural,Mid,OBC,740.0084759169623,1,1
Urban,High,General,549.8609201190693,0,0
Urban,Mid,SC,658.3607574671951,1,0
Urban,Mid,ST,652.4964995239668,1,1
Rural,Low,General,558.5216670600059,0,0
Urban,Low,General,490.77898559336654,0,0
Urban,High,ST,711.0186060504184,1,1
Urban,Mid,OBC,573.8067716225735,0,0
Urban,High,SC,677.8817329270978,1,0
Rural,Mid,ST,669.8297393968448,0,0
Urban,Mid,OBC,616.2126139218108,0,0
Urban,Low,OBC,615.2362874980828,0,0
Urban,Mid,General,670.4039305868941,1,1
Urban,Low,SC,568.6420557714481,0,0
Rural,Low,ST,544.2873869563738,0,0
Urban,Mid,ST,705.4055699917643,1,1
Urban,Mid,General,651.9998592193783,1,1
Urban,Mid,ST,559.097334169269,0,0
Urban,Low,SC,614.5142480032123,0,0
Urban,Low,OBC,631.1534110004834,1,1
Urban,Mid,OBC,642.2705488660292,1,1
Urban,Mid,ST,617.5173870152141,0,0
Urban,Mid,SC,613.1311642789528,0,1
Rural,Low,SC,576.0873531474286,0,0
Rural,Low,OBC,636.9058984114993,0,0
Rural,High,SC,701.889543187021,1,1
Rural,High,OBC,605.9354297036664,0,0
Rural,High,OBC,584.6012695453011,0,0
Urban,High,General,630.3517819894472,1,1
Rural,High,General,689.5473570515633,1,1
Rural,Mid,OBC,699.4675936047068,1,1
Urban,Mid,General,735.3736183590636,1,1
Urban,High,General,649.0635603924869,1,0
Urban,Low,OBC,553.389184281873,0,0
Urban,Mid,ST,804.625368769928,1,1
Urban,High,ST,667.1568177787228,1,1
Rural,Low,SC,610.8955717210114,0,0
Urban,Mid,SC,671.6079919468722,1,1
Rural,Low,ST,707.4818139609605,0,0
Urban,Low,ST,680.5599282380008,1,1
Rural,Mid,ST,562.2190904271449,0,0
Urban,Low,SC,536.0389239842788,0,0
Rural,Mid,OBC,706.0989417229791,1,0
Rural,High,SC,560.4106978399514,0,0
Rural,Mid,OBC,602.5763025993882,0,0
Rural,Low,General,739.8372038798548,1,0
Urban,Low,General,776.1840345422862,1,1
Urban,Mid,ST,687.3506227185601,1,1
Rural,Low,SC,562.3444192462455,0,0
Rural,Mid,General,652.375117261073,0,0
Rural,High,ST,740.162859020891,1,1
Urban,Low,OBC,564.887088387269,0,0
Rural,Low,OBC,493.3506539646085,0,0
Urban,Low,General,681.8222911277177,1,1
Rural,Mid,OBC,639.5521416458078,0,0
Rural,Mid,OBC,647.6454035930633,0,0
Rural,Mid,General,654.1767861925202,0,0
Urban,Mid,SC,672.1689128516807,1,1
Urban,Low,General,574.7580685469967,0,0
Urban,Mid,SC,544.2120693881557,0,0
Rural,High,ST,636.3402471361586,0,0
Urban,Mid,General,626.1389441503068,1,1
Urban,High,SC,540.0572158525913,0,0
Urban,Mid,General,725.1915479916026,1,1
Rural,Mid,SC,652.3113112722915,0,0
Urban,Mid,OBC,464.6889536550559,0,0
Urban,Low,ST,730.6831121603778,1,1
Urban,Mid,ST,653.2093718336826,1,1
Rural,Low,OBC,702.1978929302202,0,0
Rural,Low,SC,536.6971736965367,0,0
Rural,Mid,ST,712.740990676121,1,1
Urban,Mid,General,575.7762893949397,0,0
Urban,Low,OBC,601.8211259079839,0,0
Urban,Mid,SC,811.8922140106658,1,1
Urban,High,SC,651.5562629967706,1,1
Urban,Mid,SC,697.5091993884272,1,1
